text,label
win free iphone now,SPAM
Congratulations you have won 1000000 dollars,SPAM
Urgent verify your bank account immediately,SPAM
Free gift card waiting for you claim now,SPAM
You have 1 new voicemail click this link,SPAM
Limited time offer buy now 50 off,SPAM
Earn money fast from home no experience needed,SPAM
Your package is delayed click to track,SPAM
Claim your lottery prize today,SPAM
Act now exclusive deal just for you,SPAM
Hey can we meet for coffee tomorrow,NOT SPAM
Meeting rescheduled to 3pm in room 204,NOT SPAM
Can you send me the report by EOD,NOT SPAM
Happy birthday hope you have a great day,NOT SPAM
Lunch at 1pm in the cafeteria,NOT SPAM
Did you finish the assignment for class,NOT SPAM
Project deadline is next Friday,NOT SPAM
Call me when you are free,NOT SPAM
The notes from lecture are attached,NOT SPAM
Let's catch up this weekend,NOT SPAM
meeting tomorrow at 3pm,NOT SPAM
claim your prize today,SPAM
project update attached,NOT SPAM
congratulations you won,SPAM
team lunch on friday,NOT SPAM
limited time offer,SPAM
please review the report,NOT SPAM
get rich quick,SPAM
assignment deadline,NOT SPAM
you have won 1 million,SPAM
can we reschedule the call,NOT SPAM
click here to claim reward,SPAM
minutes of meeting attached,NOT SPAM
urgent action required,SPAM
submit your assignment today,NOT SPAM
lottery winner claim now,SPAM
new policy update,NOT SPAM
make money from home,SPAM
client feedback needed,NOT SPAM
free vacation for you,SPAM
invoice attached for payment,NOT SPAM
you are selected,SPAM
code review by eod,NOT SPAM
buy now 50 percent off,SPAM
password reset required,SPAM
sprint planning meeting,NOT SPAM
earn 50000 per week,SPAM
your document is ready,NOT SPAM
claim free gift card,SPAM
quarterly results attached,NOT SPAM
act now limited seats,SPAM
interview scheduled for tuesday,NOT SPAM
congratulations winner,SPAM
timesheet submission,NOT SPAM
double your money,SPAM
new employee onboarding,NOT SPAM
bank account verification,SPAM
training session tomorrow,NOT SPAM
miracle weight loss,SPAM
budget approval needed,NOT SPAM
claim free prize now you won lottery,SPAM
